id,path
1,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=1&direction=0&language=zh-tw&ver=3.6.8&routeType=0
1A,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=1A&direction=0&language=zh-tw&ver=3.6.8&routeType=0
2,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=2&direction=0&language=zh-tw&ver=3.6.8&routeType=0
2A,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=2A&direction=0&language=zh-tw&ver=3.6.8&routeType=0
2AS,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=2AS&direction=0&language=zh-tw&ver=3.6.8&routeType=0
3,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=3&direction=0&language=zh-tw&ver=3.6.8&routeType=0
3A,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=3A&direction=0&language=zh-tw&ver=3.6.8&routeType=0
3AX,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=3AX&direction=0&language=zh-tw&ver=3.6.8&routeType=0
3X,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=3X&direction=0&language=zh-tw&ver=3.6.8&routeType=0
4,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=4&direction=0&language=zh-tw&ver=3.6.8&routeType=0
5,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=5&direction=0&language=zh-tw&ver=3.6.8&routeType=0
5X,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=5X&direction=0&language=zh-tw&ver=3.6.8&routeType=0
6A,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=6A&direction=0&language=zh-tw&ver=3.6.8&routeType=0
6B,
7,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=7&direction=0&language=zh-tw&ver=3.6.8&routeType=0
8,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=8&direction=0&language=zh-tw&ver=3.6.8&routeType=0
8A,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=8A&direction=0&language=zh-tw&ver=3.6.8&routeType=0
9,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=9&direction=0&language=zh-tw&ver=3.6.8&routeType=0
9A,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=9A&direction=0&language=zh-tw&ver=3.6.8&routeType=0
10,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=10&direction=0&language=zh-tw&ver=3.6.8&routeType=0
10B,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=10B&direction=0&language=zh-tw&ver=3.6.8&routeType=0
11,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=11&direction=0&language=zh-tw&ver=3.6.8&routeType=0
12,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=12&direction=0&language=zh-tw&ver=3.6.8&routeType=0
15,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=15&direction=0&language=zh-tw&ver=3.6.8&routeType=0
15S,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=15S&direction=0&language=zh-tw&ver=3.6.8&routeType=0
15S1,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=15S1&direction=0&language=zh-tw&ver=3.6.8&routeType=0
15T,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=15T&direction=0&language=zh-tw&ver=3.6.8&routeType=0
16,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=16&direction=0&language=zh-tw&ver=3.6.8&routeType=0
16S,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=16S&direction=0&language=zh-tw&ver=3.6.8&routeType=0
17,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=17&direction=0&language=zh-tw&ver=3.6.8&routeType=0
17S,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=17S&direction=0&language=zh-tw&ver=3.6.8&routeType=0
18,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=18&direction=0&language=zh-tw&ver=3.6.8&routeType=0
18A,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=18A&direction=0&language=zh-tw&ver=3.6.8&routeType=0
18B,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=18B&direction=0&language=zh-tw&ver=3.6.8&routeType=0
19,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=19&direction=0&language=zh-tw&ver=3.6.8&routeType=0
21A,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=21A&direction=0&language=zh-tw&ver=3.6.8&routeType=0
22,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=22&direction=0&language=zh-tw&ver=3.6.8&routeType=0
23,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=23&direction=0&language=zh-tw&ver=3.6.8&routeType=0
25,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=25&direction=0&language=zh-tw&ver=3.6.8&routeType=0
25AX,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=25AX&direction=0&language=zh-tw&ver=3.6.8&routeType=0
25B,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=25B&direction=0&language=zh-tw&ver=3.6.8&routeType=0
25BS,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=25BS&direction=0&language=zh-tw&ver=3.6.8&routeType=0
26,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=26&direction=0&language=zh-tw&ver=3.6.8&routeType=0
26A,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=26A&direction=0&language=zh-tw&ver=3.6.8&routeType=0
27,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=27&direction=0&language=zh-tw&ver=3.6.8&routeType=0
28A,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=28A&direction=0&language=zh-tw&ver=3.6.8&routeType=0
28B,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=28B&direction=0&language=zh-tw&ver=3.6.8&routeType=0
28C,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=28C&direction=0&language=zh-tw&ver=3.6.8&routeType=0
29,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=29&direction=0&language=zh-tw&ver=3.6.8&routeType=0
30,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=30&direction=0&language=zh-tw&ver=3.6.8&routeType=0
30X,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=30X&direction=0&language=zh-tw&ver=3.6.8&routeType=0
32,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=32&direction=0&language=zh-tw&ver=3.6.8&routeType=0
33,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=33&direction=0&language=zh-tw&ver=3.6.8&routeType=0
34,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=34&direction=0&language=zh-tw&ver=3.6.8&routeType=0
35,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=35&direction=0&language=zh-tw&ver=3.6.8&routeType=0
36,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=36&direction=0&language=zh-tw&ver=3.6.8&routeType=0
37,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=37&direction=0&language=zh-tw&ver=3.6.8&routeType=0
39,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=39&direction=0&language=zh-tw&ver=3.6.8&routeType=0
50,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=50&direction=0&language=zh-tw&ver=3.6.8&routeType=0
50B,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=50B&direction=0&language=zh-tw&ver=3.6.8&routeType=0
51,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=51&direction=0&language=zh-tw&ver=3.6.8&routeType=0
51A,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=51A&direction=0&language=zh-tw&ver=3.6.8&routeType=0
51X,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=51X&direction=0&language=zh-tw&ver=3.6.8&routeType=0
52,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=52&direction=0&language=zh-tw&ver=3.6.8&routeType=0
55,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=55&direction=0&language=zh-tw&ver=3.6.8&routeType=0
56,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=56&direction=0&language=zh-tw&ver=3.6.8&routeType=0
59,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=59&direction=0&language=zh-tw&ver=3.6.8&routeType=0
60,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=60&direction=0&language=zh-tw&ver=3.6.8&routeType=0
61,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=61&direction=0&language=zh-tw&ver=3.6.8&routeType=0
65,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=65&direction=0&language=zh-tw&ver=3.6.8&routeType=0
71,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=71&direction=0&language=zh-tw&ver=3.6.8&routeType=0
71S,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=71S&direction=0&language=zh-tw&ver=3.6.8&routeType=0
72,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=72&direction=0&language=zh-tw&ver=3.6.8&routeType=0
73,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=73&direction=0&language=zh-tw&ver=3.6.8&routeType=0
101X,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=101X&direction=0&language=zh-tw&ver=3.6.8&routeType=0
102X,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=102X&direction=0&language=zh-tw&ver=3.6.8&routeType=0
103X,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=103X&direction=0&language=zh-tw&ver=3.6.8&routeType=0
701x,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=701x&direction=0&language=zh-tw&ver=3.6.8&routeType=0
AP1,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=AP1&direction=0&language=zh-tw&ver=3.6.8&routeType=0
AP1X,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=AP1X&direction=0&language=zh-tw&ver=3.6.8&routeType=0
H1,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=H1&direction=0&language=zh-tw&ver=3.6.8&routeType=0
H2,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=H2&direction=0&language=zh-tw&ver=3.6.8&routeType=0
H3,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=H3&direction=0&language=zh-tw&ver=3.6.8&routeType=0
MT1,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=MT1&direction=0&language=zh-tw&ver=3.6.8&routeType=0
MT2,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=MT2&direction=0&language=zh-tw&ver=3.6.8&routeType=0
MT3,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=MT3&direction=0&language=zh-tw&ver=3.6.8&routeType=0
MT4,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=MT4&direction=0&language=zh-tw&ver=3.6.8&routeType=0
MT5,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=MT5&direction=0&language=zh-tw&ver=3.6.8&routeType=0
N1A,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=N1A&direction=0&language=zh-tw&ver=3.6.8&routeType=0
N1B,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=N1B&direction=0&language=zh-tw&ver=3.6.8&routeType=0
N2,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=N2&direction=0&language=zh-tw&ver=3.6.8&routeType=0
N3,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=N3&direction=0&language=zh-tw&ver=3.6.8&routeType=0
N5,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=N5&direction=0&language=zh-tw&ver=3.6.8&routeType=0
N6,https://bis.dsat.gov.mo:37812/macauweb/routeLine.html?routeName=N6&direction=0&language=zh-tw&ver=3.6.8&routeType=0
